req_id,requerimiento,tc_id,caso_de_prueba,tecnica,archivo_prueba,estado,def_id
REQ-DSC-001,Cliente premium recibe 10% base y standard 0%,TC-DSC-EP-001,Partición válida: standard sin cupón bajo umbral → 0%,Partición de equivalencias,tests/test_equivalence_boundary.py,PASS,
REQ-DSC-001,Cliente premium recibe 10% base y standard 0%,TC-DSC-EP-002,Partición válida: premium sin cupón bajo umbral → 10%,Partición de equivalencias,tests/test_equivalence_boundary.py,PASS,
REQ-DSC-002,Pedido >= 1000 suma 5% por volumen,TC-DSC-BVA-003,Límite inferior del umbral: 999.99 → sin bono de volumen,Análisis de valores límite,tests/test_equivalence_boundary.py,PASS,
REQ-DSC-002,Pedido >= 1000 suma 5% por volumen,TC-DSC-BVA-004,Límite exacto del umbral: 1000.00 → con bono de volumen,Análisis de valores límite,tests/test_equivalence_boundary.py,PASS,
REQ-DSC-003,Cupón válido suma 5% adicional,TC-DT-R2,Regla DT-R2: standard + cupón → 5%,Tabla de decisión,tests/test_decision_table.py,PASS,
REQ-DSC-004,El descuento total nunca excede 15%,TC-DT-R8,Regla DT-R8: premium + volumen + cupón → tope 15%,Tabla de decisión,tests/test_decision_table.py,PASS,
REQ-DSC-005,order_total debe estar en (0; 10000],TC-DSC-INV-001,Partición inválida: order_total = 0 → ValueError,Partición de equivalencias + BVA,tests/test_equivalence_boundary.py,PASS,
REQ-DSC-005,order_total debe estar en (0; 10000],TC-DSC-INV-002,Partición inválida: order_total = 10000.01 → ValueError,Análisis de valores límite,tests/test_equivalence_boundary.py,PASS,
REQ-DSC-005,order_total debe estar en (0; 10000],TC-DSC-INV-003,Partición inválida: customer_type desconocido → ValueError,Partición de equivalencias,tests/test_equivalence_boundary.py,PASS,
REQ-MTX-001,La matriz cross-browser cubre todos los pares exigibles de parámetros,TC-PW-001,Pairwise reduce el producto cartesiano respetando restricciones,Pruebas combinatorias (pairwise),tests/test_pairwise.py,PASS,
REQ-MTX-001,La matriz cross-browser cubre todos los pares exigibles de parámetros,TC-PW-002,Gap analysis: ningún par exigible queda sin cubrir tras complementar,Pruebas combinatorias (pairwise),tests/test_pairwise.py,PASS,DEF-001
DEF-001,allpairspy con filter_func sacrifica pares válidos (chromium/firefox × macos) — mitigado con pairwise_matrix.py,,,,design_lab/pairwise_matrix.py,CERRADO,
REQ-LOG-001,Usuario válido y no bloqueado con password secret_sauce accede al inventario,TC-LOG-EP-001,Partición válida: standard_user + secret_sauce → redirige a /inventory.html,Partición de equivalencias,No script yet,PENDIENTE,
REQ-LOG-001,Usuario válido y no bloqueado con password secret_sauce accede al inventario,TC-LOG-DT-R6,Regla DT-R6: usuario existe + password correcta + no bloqueado → acceso al inventario,Tabla de decisión,No script yet,PENDIENTE,
REQ-LOG-001,Usuario válido y no bloqueado con password secret_sauce accede al inventario,TC-LOG-PW-001,Pairwise usuario × navegador × viewport: 15 filas cubren los 31 pares exigibles de las 30 combinaciones totales (gap analysis: 0 faltantes),Pruebas combinatorias (pairwise),No script yet,PENDIENTE,
REQ-LOG-001,Usuario válido y no bloqueado con password secret_sauce accede al inventario,TC-LOG-PW-002,Pairwise representativo: performance_glitch_user × firefox × mobile → login exitoso dentro del timeout de 10s,Pruebas combinatorias (pairwise),No script yet,PENDIENTE,
REQ-LOG-002,Credenciales inválidas o usuario bloqueado rechazan el acceso con mensaje Epic sadface,TC-LOG-EP-002,Partición inválida: usuario inexistente + secret_sauce → mensaje Username and password do not match,Partición de equivalencias,No script yet,PENDIENTE,
REQ-LOG-002,Credenciales inválidas o usuario bloqueado rechazan el acceso con mensaje Epic sadface,TC-LOG-EP-003,Partición inválida: standard_user + password errónea → mensaje Username and password do not match,Partición de equivalencias,No script yet,PENDIENTE,
REQ-LOG-002,Credenciales inválidas o usuario bloqueado rechazan el acceso con mensaje Epic sadface,TC-LOG-DT-R5,Regla DT-R5: locked_out_user + secret_sauce → mensaje Sorry; this user has been locked out,Tabla de decisión,No script yet,PENDIENTE,
REQ-LOG-002,Credenciales inválidas o usuario bloqueado rechazan el acceso con mensaje Epic sadface,TC-LOG-BVA-001,Límite inferior de la credencial: password de 11 caracteres (secret_sauc; exacta−1) → rechazo,Análisis de valores límite,No script yet,PENDIENTE,
REQ-LOG-002,Credenciales inválidas o usuario bloqueado rechazan el acceso con mensaje Epic sadface,TC-LOG-BVA-002,Límite superior de la credencial: password de 13 caracteres (secret_sauce + 1 char; exacta+1) → rechazo,Análisis de valores límite,No script yet,PENDIENTE,
REQ-LOG-003,Los campos username y password son obligatorios en el formulario de login,TC-LOG-DT-R1,Regla DT-R1: username vacío (con o sin password) → mensaje Username is required,Tabla de decisión,No script yet,PENDIENTE,
REQ-LOG-003,Los campos username y password son obligatorios en el formulario de login,TC-LOG-DT-R2,Regla DT-R2: username lleno + password vacío → mensaje Password is required,Tabla de decisión,No script yet,PENDIENTE,
REQ-LOG-003,Los campos username y password son obligatorios en el formulario de login,TC-LOG-BVA-003,Límite de longitud 0 vs 1: campo con 0 caracteres → error de campo requerido; con 1 carácter → error de credenciales,Análisis de valores límite,No script yet,PENDIENTE,
